city,latitude,longitude
Akron,41.083064,-81.518485
Alliance,42.0971897,-102.8707145
Ashtabula,41.865054,-80.789809
Athens,37.9839412,23.7283052
Barberton,41.012833,-81.6051221
Bedford,52.1363806,-0.4675041
Bellefontaine,48.0151724,6.4433771
Bowling Green,36.9903199,-86.4436018
Canton,32.555664,-95.8640507
Chillicothe,39.3331197,-82.9824019
Cincinnati,39.1014537,-84.5124602
Cleveland,41.5051613,-81.6934446
Cleveland Heights,41.5200518,-81.556235
Columbus,39.9622601,-83.0007065
Conneaut,41.9440977,-80.5561011
Cuyahoga Falls,41.1348213,-81.4848086
Dayton,39.7589478,-84.1916069
Defiance,41.8241543,-95.3427762
Delaware,38.6920451,-75.4013315
East Cleveland,41.5331066,-81.5790137
East Liverpool,40.6186756,-80.5772928
Elyria,41.3673191,-82.1073583
Euclid,41.5931049,-81.5267873
Findlay,41.0413873,-83.6503982
Gallipolis,38.809803,-82.2023691
Greenville,34.851354,-82.3984882
Hamilton,43.2560802,-79.8728583
Kent,33.1665316,-100.7846477
Kettering,39.6895036,-84.1688274
Lakewood,39.6311085,-105.1100582
Lancaster,40.03813,-76.3056686
Lima,-12.0621065,-77.0365256
Lorain,41.4673238,-82.1781904
Mansfield,40.75839,-82.5154471
Marietta,33.9528472,-84.5496148
Marion,32.7931661,-94.344488
Martins Ferry,40.0959055,-80.724526
Massillon,40.7965119,-81.5231597
Mentor,41.6664781,-81.3399769
Middletown,41.5496141,-72.6515776
Milan,45.4668,9.1905
Mount Vernon,38.3172715,-88.9031201
New Philadelphia,40.4897871,-81.4456706
Newark,40.735657,-74.1723667
Niles,42.0289319,-87.8122348
North College Hill,39.2183911,-84.5507778
Norwalk,41.095844,-73.4205337
Oberlin,41.2939386,-82.2173786
Painesville,41.7244885,-81.245657
Parma,44.8013678,10.3280833
Piqua,40.1447732,-84.2424449
Portsmouth,50.8036831,-1.075614
Put-in-Bay,41.6518884,-82.8186814
Salem,44.9391565,-123.033121
Sandusky,41.4561002,-82.7115813
Shaker Heights,41.4739419,-81.5370671
Springfield,39.7990175,-89.6439575
Steubenville,40.3697905,-80.6339638
Tiffin,41.7058469,-91.6629498
Toledo,39.8560679,-4.0239568
Urbana,40.1117174,-88.207301
Warren,40.8442828,-90.6168408
Wooster,40.7980976,-81.9397733
Worthington,43.6205056,-95.5956434
Xenia,38.6358808,-88.6347744
Yellow Springs,39.8045432,-83.8925234
Youngstown,41.1035786,-80.6520161
Zanesville,39.9403453,-82.0131924
